Epoch,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,TestEpLen,AverageTrainEpRet,StdTrainEpRet,TrainEpLen,Q1,Q2
68,68000,-63.1,31.703154,44.1,-47.45,0.5894913,48.45,-43.09823,-43.098736
69,69000,-55.1,23.640854,46.1,-54.68182,22.400053,46.590908,-43.20586,-43.206646
70,70000,-62.7,32.152916,43.7,-55.190475,23.14472,46.666668,-42.984837,-42.985493
71,71000,-47.4,0.48989797,48.4,-51.42857,16.907509,47.666668,-42.85274,-42.852745
72,72000,-47.4,0.48989797,48.4,-47.61905,0.4856209,48.61905,-41.761517,-41.76166
73,73000,-47.2,0.4,48.2,-47.65,0.5722762,48.65,-41.38968,-41.390274
74,74000,-63.3,31.603954,44.3,-51.42857,16.90751,47.666668,-41.112373,-41.11273
75,75000,-47.5,0.5,48.5,-47.666668,0.71269673,48.666668,-41.09319,-41.094242
76,76000,-55.2,23.944939,46.2,-51.42857,16.910326,47.666668,-40.46903,-40.468563
77,77000,-47.5,0.5,48.5,-47.42857,0.72843134,48.42857,-40.113388,-40.113876
78,78000,-47.5,0.5,48.5,-58.904762,27.805286,45.61905,-40.486282,-40.487022
79,79000,-47.8,0.59999996,48.8,-54.81818,22.836645,46.727272,-40.58333,-40.583656
80,80000,-71.3,36.249275,42.3,-51.52381,16.885101,47.761906,-39.997047,-39.997562
81,81000,-63.3,31.603954,44.3,-55.095238,23.174093,46.57143,-39.427475,-39.42766
82,82000,-47.4,0.48989797,48.4,-55.136364,22.736225,47.045456,-39.36578,-39.36618
83,83000,-47.2,0.6,48.2,-47.5,0.591608,48.5,-39.150787,-39.150845
84,84000,-47.9,0.29999998,48.9,-47.52381,0.4994328,48.52381,-38.578197,-38.578323
85,85000,-63.5,31.2514,44.5,-51.42857,16.910326,47.666668,-38.832367,-38.83355
86,86000,-55.6,23.804201,46.6,-51.38095,16.700375,47.61905,-38.76068,-38.76068
87,87000,-47.7,0.45825756,48.7,-51.57143,16.649242,47.809525,-38.46711,-38.46683
88,88000,-47.5,0.5,48.5,-58.904762,27.94366,45.61905,-38.026814,-38.027218
89,89000,-48.0,0.7745967,49.0,-55.045456,22.762564,46.954544,-38.203873,-38.204155
90,90000,-55.2,23.604239,46.2,-51.57143,16.87368,47.809525,-37.862312,-37.86241
91,91000,-47.1,0.70000005,48.1,-65.77273,32.99715,44.045456,-38.004616,-38.00573
92,92000,-47.7,0.4582576,48.7,-54.863636,22.66414,46.772728,-37.41894,-37.418453
93,93000,-47.8,0.4,48.8,-47.9,0.5385165,48.9,-37.151333,-37.151405
94,94000,-47.9,0.5385165,48.9,-51.52381,16.885101,47.761906,-37.27952,-37.27947
95,95000,-47.5,0.67082036,48.5,-51.57143,16.873678,47.809525,-36.999176,-36.99964
96,96000,-47.6,0.48989797,48.6,-51.57143,16.870857,47.809525,-37.22397,-37.22409
97,97000,-47.8,0.59999996,48.8,-47.61905,0.4856209,48.61905,-36.81243,-36.81286
98,98000,-47.9,0.5385165,48.9,-55.285713,23.110794,46.761906,-36.909634,-36.909817
99,99000,-47.5,0.5,48.5,-55.238094,23.288876,46.714287,-36.945267,-36.94544
100,100000,-55.6,23.804201,46.6,-47.666668,0.4714045,48.666668,-36.93997,-36.940285
101,101000,-47.8,0.4,48.8,-58.636364,27.305584,46.0,-36.533997,-36.533733
102,102000,-47.9,0.5385165,48.9,-47.5,0.67082036,48.5,-36.16679,-36.16718
103,103000,-63.6,31.702366,44.6,-47.857143,0.8329931,48.857143,-36.804432,-36.804794
104,104000,-47.5,0.5,48.5,-51.761906,16.837896,48.0,-36.46448,-36.464554
105,105000,-47.8,0.74833155,48.8,-47.9,0.6244998,48.9,-36.429466,-36.429123
106,106000,-47.9,0.70000005,48.9,-51.38095,16.918505,47.61905,-36.283043,-36.28302
107,107000,-55.4,23.87132,46.4,-47.85,0.5722762,48.85,-36.09401,-36.09439
108,108000,-47.7,0.45825756,48.7,-48.0,0.6172134,49.0,-36.090523,-36.09087
109,109000,-47.4,0.48989797,48.4,-51.38095,16.918505,47.61905,-35.880623,-35.880203
110,110000,-47.6,0.48989797,48.6,-51.333332,17.150131,47.57143,-35.891983,-35.89231
111,111000,-47.5,0.8062258,48.5,-51.333332,16.926548,47.57143,-35.4775,-35.47799
112,112000,-79.3,38.74803,40.3,-74.166664,37.187218,41.833332,-35.57808,-35.57804
113,113000,-47.3,0.64031243,48.3,-51.857143,16.810669,48.095238,-35.704147,-35.70443
114,114000,-47.9,0.29999998,48.9,-51.42857,16.910328,47.666668,-35.44161,-35.441624
115,115000,-47.7,0.4582576,48.7,-51.61905,16.864943,47.857143,-35.65266,-35.65226
116,116000,-47.8,0.4,48.8,-47.75,0.698212,48.75,-35.58103,-35.58137
117,117000,-55.9,23.70422,46.9,-48.1,0.7,49.1,-35.080967,-35.08179
118,118000,-47.9,0.5385165,48.9,-47.666668,0.83571094,48.666668,-35.100594,-35.098854
119,119000,-55.6,23.804201,46.6,-51.42857,16.910326,47.666668,-34.933735,-34.934315
120,120000,-47.7,0.4582576,48.7,-58.545456,26.945616,45.909092,-34.880146,-34.88021
121,121000,-63.6,31.702366,44.6,-47.7,0.64031243,48.7,-34.89908,-34.89952
122,122000,-55.3,23.904182,46.3,-58.590908,27.192343,45.954544,-34.731163,-34.730885
123,123000,-63.3,31.603954,44.3,-47.809525,0.49943283,48.809525,-34.19907,-34.19949
124,124000,-47.6,0.48989797,48.6,-51.95,17.001398,47.95,-34.324383,-34.324356
125,125000,-63.5,31.756102,44.5,-48.095238,0.68346196,49.095238,-34.718754,-34.71919
126,126000,-47.5,0.5,48.5,-55.47619,23.21662,46.95238,-34.526016,-34.525375
127,127000,-48.4,0.66332495,49.4,-48.0,0.83666,49.0,-34.364952,-34.365437
128,128000,-48.0,0.4472136,49.0,-55.090908,22.587019,47.0,-34.477905,-34.47793
129,129000,-47.7,0.64031243,48.7,-51.714287,16.849876,47.95238,-34.08118,-34.080734
130,130000,-47.9,0.29999998,48.9,-51.9,17.47255,47.9,-33.918655,-33.918945
131,131000,-47.6,0.48989797,48.6,-47.714287,0.6998542,48.714287,-33.944164,-33.944103
132,132000,-47.6,0.66332495,48.6,-55.42857,23.228823,46.904762,-34.102646,-34.10309
133,133000,-48.0,0.4472136,49.0,-51.904762,16.798256,48.142857,-33.82914,-33.82879
134,134000,-47.6,0.48989797,48.6,-47.761906,0.6098214,48.761906,-33.897827,-33.897655
135,135000,-47.8,0.4,48.8,-51.65,17.298193,47.65,-34.02443,-34.024952
136,136000,-55.6,23.804201,46.6,-51.61905,16.867767,47.857143,-33.89536,-33.894352
137,137000,-48.0,0.4472136,49.0,-51.809525,16.822943,48.04762,-33.53072,-33.531185
138,138000,-47.7,0.64031243,48.7,-55.809525,23.269882,47.285713,-33.537453,-33.537033
139,139000,-47.7,0.4582576,48.7,-47.761906,0.6098213,48.761906,-33.60236,-33.60289
140,140000,-47.6,0.48989797,48.6,-47.95,0.6689544,48.95,-33.77126,-33.770275
141,141000,-48.0,0.6324555,49.0,-47.95238,0.5753831,48.95238,-33.47592,-33.477036
142,142000,-47.4,0.48989797,48.4,-51.761906,16.83224,48.0,-33.302425,-33.301765
143,143000,-47.6,0.663325,48.6,-47.8,0.678233,48.8,-33.46656,-33.467346
144,144000,-47.6,0.48989797,48.6,-47.666668,0.4714045,48.666668,-33.44402,-33.44416
145,145000,-47.6,0.48989797,48.6,-47.95,0.49749374,48.95,-33.272335,-33.272488
146,146000,-47.8,0.59999996,48.8,-48.0,0.83666,49.0,-32.977238,-32.977085
147,147000,-48.1,0.5385165,49.1,-48.04762,0.48562086,49.04762,-32.90551,-32.904938
148,148000,-47.7,0.45825756,48.7,-48.25,0.698212,49.25,-33.22646,-33.227173
149,149000,-48.4,0.66332495,49.4,-48.15,0.5722762,49.15,-33.03367,-33.033203
150,150000,-47.9,0.5385165,48.9,-48.238094,0.6098213,49.238094,-32.96817,-32.96786
