Epoch,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,TestEpLen,AverageTrainEpRet,StdTrainEpRet,TrainEpLen,Q1,Q2
106,106000,-46.4,0.48989797,47.4,-50.190475,15.622387,46.42857,-22.41638,-22.416265
107,107000,-54.5,21.841475,45.5,-53.5,21.038385,45.409092,-22.465183,-22.46452
108,108000,-53.8,22.071701,44.8,-49.727272,15.35099,46.18182,-22.447042,-22.445879
109,109000,-46.2,0.4,47.2,-46.52381,0.58708704,47.52381,-22.456734,-22.457504
110,110000,-46.4,0.48989797,47.4,-46.61905,0.5753831,47.61905,-22.361217,-22.35904
111,111000,-53.9,22.038376,44.9,-53.31818,21.091547,45.227272,-22.340614,-22.339083
112,112000,-46.3,0.45825756,47.3,-46.47619,0.4994328,47.47619,-22.344208,-22.344269
113,113000,-46.3,0.4582576,47.3,-46.52381,0.58708704,47.52381,-22.330585,-22.329706
114,114000,-53.9,22.371634,44.9,-49.727272,15.559802,46.18182,-22.264812,-22.263906
115,115000,-46.4,0.48989797,47.4,-46.904762,0.6098214,47.904762,-22.255104,-22.253683
116,116000,-47.9,0.5385165,48.9,-46.857143,0.8329931,47.857143,-22.23912,-22.238192
117,117000,-54.1,21.974758,45.1,-59.52174,27.754938,43.130436,-22.235012,-22.235765
118,118000,-53.7,22.104525,44.7,-53.18182,21.139439,45.090908,-22.290247,-22.291214
119,119000,-46.5,0.67082036,47.5,-50.090908,15.267043,46.545456,-22.341133,-22.33916
120,120000,-46.4,0.48989797,47.4,-50.38095,15.803785,46.61905,-22.269512,-22.26907
121,121000,-46.6,0.48989797,47.6,-46.714287,0.62813836,47.714287,-22.337011,-22.335665
122,122000,-47.2,0.59999996,48.2,-46.666668,0.56343615,47.666668,-22.23841,-22.239105
123,123000,-54.0,21.67487,45.0,-50.47619,15.570482,46.714287,-22.19796,-22.197252
124,124000,-47.4,0.48989797,48.4,-50.31818,15.45194,46.772728,-22.210882,-22.209703
125,125000,-46.7,0.45825756,47.7,-50.761906,15.49164,47.0,-22.22868,-22.228292
126,126000,-46.5,0.5,47.5,-50.52381,15.558245,46.761906,-22.212236,-22.210676
127,127000,-46.5,0.5,47.5,-46.857143,0.7737179,47.857143,-22.21475,-22.212574
128,128000,-47.0,0.6324555,48.0,-49.954544,15.519715,46.409092,-22.166502,-22.168056
129,129000,-54.1,22.308968,45.1,-50.285713,15.817841,46.52381,-22.16893,-22.168072
130,130000,-46.9,0.5385165,47.9,-46.61905,0.5753831,47.61905,-22.203207,-22.20248
131,131000,-46.5,0.67082036,47.5,-46.809525,0.66325665,47.809525,-22.110058,-22.108175
132,132000,-48.1,0.29999998,49.1,-47.95238,1.2901158,48.95238,-22.106703,-22.107384
133,133000,-53.9,22.038376,44.9,-53.636364,21.31697,45.545456,-22.050688,-22.047728
134,134000,-46.6,0.48989797,47.6,-50.333332,15.591004,46.57143,-22.13016,-22.129402
135,135000,-46.5,0.67082036,47.5,-53.227272,21.279379,45.136364,-22.11216,-22.112621
136,136000,-47.9,0.5385165,48.9,-51.238094,15.405332,47.47619,-21.980661,-21.980259
137,137000,-48.5,0.5,49.5,-48.333332,0.71269673,49.333332,-21.960379,-21.95913
138,138000,-48.1,0.29999998,49.1,-48.95,0.8046738,49.95,-21.882996,-21.883244
139,139000,-49.1,0.5385165,50.1,-52.25,15.329302,48.25,-21.889812,-21.889345
140,140000,-47.7,0.64031243,48.7,-48.47619,0.95713097,49.47619,-22.047949,-22.046562
141,141000,-46.5,0.5,47.5,-47.55,0.86458075,48.55,-22.066235,-22.067152
142,142000,-46.5,0.5,47.5,-53.409092,21.0641,45.31818,-22.100168,-22.0999
143,143000,-46.5,0.67082036,47.5,-46.857143,0.5593972,47.857143,-22.080395,-22.077078
144,144000,-46.6,0.48989797,47.6,-53.272728,21.106186,45.18182,-22.112488,-22.112728
145,145000,-46.4,0.48989797,47.4,-46.61905,0.5753831,47.61905,-22.042715,-22.044281
146,146000,-46.7,0.45825756,47.7,-50.090908,15.264066,46.545456,-22.075695,-22.073082
147,147000,-46.6,0.8,47.6,-46.714287,0.5471012,47.714287,-22.035194,-22.035543
148,148000,-46.4,0.48989797,47.4,-46.857143,0.70950776,47.857143,-22.003788,-22.002079
149,149000,-46.5,0.5,47.5,-46.8,0.509902,47.8,-21.945116,-21.94484
150,150000,-46.7,0.781025,47.7,-46.857143,0.5593972,47.857143,-22.021109,-22.021309
